"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"Guyane";"Médecine physique et réadaptation";"Entre 40 et 44 ans";0
"Guyane";"Médecine physique et réadaptation";"Entre 45 et 49 ans";0
"Guyane";"Médecine physique et réadaptation";"Entre 50 et 54 ans";0
"Guyane";"Médecine physique et réadaptation";"Entre 55 et 59 ans";0
"Guyane";"Médecine physique et réadaptation";"Entre 60 et 64 ans";1
"Guyane";"Médecine physique et réadaptation";"Entre 65 et 69 ans";0
"Guyane";"Médecine physique et réadaptation";"70 ans et plus";0
"Guyane";"Néphrologie";"Ensemble tous âges confondus";3
"Guyane";"Néphrologie";"Moins de 30 ans";0
"Guyane";"Néphrologie";"Entre 30 et 34 ans";0
"Guyane";"Néphrologie";"Entre 35 et 39 ans";0
"Guyane";"Néphrologie";"Entre 40 et 44 ans";0
"Guyane";"Néphrologie";"Entre 45 et 49 ans";0
"Guyane";"Néphrologie";"Entre 50 et 54 ans";0
"Guyane";"Néphrologie";"Entre 55 et 59 ans";1
"Guyane";"Néphrologie";"Entre 60 et 64 ans";1
"Guyane";"Néphrologie";"Entre 65 et 69 ans";1
"Guyane";"Néphrologie";"70 ans et plus";0
"Guyane";"Neurochirurgie";"Ensemble tous âges confondus";1
"Guyane";"Neurochirurgie";"Moins de 30 ans";0
"Guyane";"Neurochirurgie";"Entre 30 et 34 ans";0
"Guyane";"Neurochirurgie";"Entre 35 et 39 ans";1
"Guyane";"Neurochirurgie";"Entre 40 et 44 ans";0
"Guyane";"Neurochirurgie";"Entre 45 et 49 ans";0
"Guyane";"Neurochirurgie";"Entre 50 et 54 ans";0
"Guyane";"Neurochirurgie";"Entre 55 et 59 ans";0
"Guyane";"Neurochirurgie";"Entre 60 et 64 ans";0
"Guyane";"Neurochirurgie";"Entre 65 et 69 ans";0
"Guyane";"Neurochirurgie";"70 ans et plus";0
"Guyane";"Neurologie";"Ensemble tous âges confondus";1
"Guyane";"Neurologie";"Moins de 30 ans";0
"Guyane";"Neurologie";"Entre 30 et 34 ans";0
"Guyane";"Neurologie";"Entre 35 et 39 ans";0
"Guyane";"Neurologie";"Entre 40 et 44 ans";0
"Guyane";"Neurologie";"Entre 45 et 49 ans";0
"Guyane";"Neurologie";"Entre 50 et 54 ans";0
"Guyane";"Neurologie";"Entre 55 et 59 ans";0
"Guyane";"Neurologie";"Entre 60 et 64 ans";1
"Guyane";"Neurologie";"Entre 65 et 69 ans";0
"Guyane";"Neurologie";"70 ans et plus";0
"Guyane";"ORL et chirurgie cervico-faciale";"Ensemble tous âges confondus";4
"Guyane";"ORL et chirurgie cervico-faciale";"Moins de 30 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 30 et 34 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 35 et 39 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 40 et 44 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 45 et 49 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 50 et 54 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 55 et 59 ans";1
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 60 et 64 ans";2
"Guyane";"ORL et chirurgie cervico-faciale";"Entre 65 et 69 ans";0
"Guyane";"ORL et chirurgie cervico-faciale";"70 ans et plus";1
"Guyane";"Oncologie option médicale";"Ensemble tous âges confondus";1
"Guyane";"Oncologie option médicale";"Moins de 30 ans";0
"Guyane";"Oncologie option médicale";"Entre 30 et 34 ans";0
"Guyane";"Oncologie option médicale";"Entre 35 et 39 ans";0
"Guyane";"Oncologie option médicale";"Entre 40 et 44 ans";0
"Guyane";"Oncologie option médicale";"Entre 45 et 49 ans";0
"Guyane";"Oncologie option médicale";"Entre 50 et 54 ans";0
"Guyane";"Oncologie option médicale";"Entre 55 et 59 ans";0
"Guyane";"Oncologie option médicale";"Entre 60 et 64 ans";0
"Guyane";"Oncologie option médicale";"Entre 65 et 69 ans";1
"Guyane";"Oncologie option médicale";"70 ans et plus";0
"Guyane";"Ophtalmologie";"Ensemble tous âges confondus";6
"Guyane";"Ophtalmologie";"Moins de 30 ans";0
"Guyane";"Ophtalmologie";"Entre 30 et 34 ans";0
"Guyane";"Ophtalmologie";"Entre 35 et 39 ans";1
"Guyane";"Ophtalmologie";"Entre 40 et 44 ans";2
"Guyane";"Ophtalmologie";"Entre 45 et 49 ans";1
"Guyane";"Ophtalmologie";"Entre 50 et 54 ans";1
"Guyane";"Ophtalmologie";"Entre 55 et 59 ans";0
"Guyane";"Ophtalmologie";"Entre 60 et 64 ans";0
"Guyane";"Ophtalmologie";"Entre 65 et 69 ans";0
"Guyane";"Ophtalmologie";"70 ans et plus";1
"Guyane";"Pédiatrie";"Ensemble tous âges confondus";28
"Guyane";"Pédiatrie";"Moins de 30 ans";0
"Guyane";"Pédiatrie";"Entre 30 et 34 ans";1
"Guyane";"Pédiatrie";"Entre 35 et 39 ans";3
"Guyane";"Pédiatrie";"Entre 40 et 44 ans";5
"Guyane";"Pédiatrie";"Entre 45 et 49 ans";7
"Guyane";"Pédiatrie";"Entre 50 et 54 ans";2
"Guyane";"Pédiatrie";"Entre 55 et 59 ans";2
"Guyane";"Pédiatrie";"Entre 60 et 64 ans";4
"Guyane";"Pédiatrie";"Entre 65 et 69 ans";3
"Guyane";"Pédiatrie";"70 ans et plus";1
"Guyane";"Pneumologie";"Ensemble tous âges confondus";2
"Guyane";"Pneumologie";"Moins de 30 ans";0
"Guyane";"Pneumologie";"Entre 30 et 34 ans";0
"Guyane";"Pneumologie";"Entre 35 et 39 ans";0
"Guyane";"Pneumologie";"Entre 40 et 44 ans";0
"Guyane";"Pneumologie";"Entre 45 et 49 ans";0
"Guyane";"Pneumologie";"Entre 50 et 54 ans";0
"Guyane";"Pneumologie";"Entre 55 et 59 ans";1
"Guyane";"Pneumologie";"Entre 60 et 64 ans";1
"Guyane";"Pneumologie";"Entre 65 et 69 ans";0
"Guyane";"Pneumologie";"70 ans et plus";0
"Guyane";"Psychiatrie";"Ensemble tous âges confondus";13
"Guyane";"Psychiatrie";"Moins de 30 ans";0
"Guyane";"Psychiatrie";"Entre 30 et 34 ans";0
"Guyane";"Psychiatrie";"Entre 35 et 39 ans";2
"Guyane";"Psychiatrie";"Entre 40 et 44 ans";2
"Guyane";"Psychiatrie";"Entre 45 et 49 ans";0
"Guyane";"Psychiatrie";"Entre 50 et 54 ans";2
"Guyane";"Psychiatrie";"Entre 55 et 59 ans";3
"Guyane";"Psychiatrie";"Entre 60 et 64 ans";1
"Guyane";"Psychiatrie";"Entre 65 et 69 ans";2
"Guyane";"Psychiatrie";"70 ans et plus";1
"Guyane";"Radiodiagnostic et imagerie médicale";"Ensemble tous âges confondus";17
"Guyane";"Radiodiagnostic et imagerie médicale";"Moins de 30 ans";0
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 30 et 34 ans";0
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 35 et 39 ans";1
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 40 et 44 ans";3
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 45 et 49 ans";2
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 50 et 54 ans";1
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 55 et 59 ans";2
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 60 et 64 ans";6
"Guyane";"Radiodiagnostic et imagerie médicale";"Entre 65 et 69 ans";2
"Guyane";"Radiodiagnostic et imagerie médicale";"70 ans et plus";0
"Guyane";"Radiothérapie";"Ensemble tous âges confondus";0
"Guyane";"Radiothérapie";"Moins de 30 ans";0
"Guyane";"Radiothérapie";"Entre 30 et 34 ans";0
"Guyane";"Radiothérapie";"Entre 35 et 39 ans";0
"Guyane";"Radiothérapie";"Entre 40 et 44 ans";0
"Guyane";"Radiothérapie";"Entre 45 et 49 ans";0
"Guyane";"Radiothérapie";"Entre 50 et 54 ans";0
"Guyane";"Radiothérapie";"Entre 55 et 59 ans";0
"Guyane";"Radiothérapie";"Entre 60 et 64 ans";0
"Guyane";"Radiothérapie";"Entre 65 et 69 ans";0
"Guyane";"Radiothérapie";"70 ans et plus";0
"Guyane";"Réanimation médicale";"Ensemble tous âges confondus";2
"Guyane";"Réanimation médicale";"Moins de 30 ans";0
"Guyane";"Réanimation médicale";"Entre 30 et 34 ans";0
"Guyane";"Réanimation médicale";"Entre 35 et 39 ans";0
"Guyane";"Réanimation médicale";"Entre 40 et 44 ans";0
"Guyane";"Réanimation médicale";"Entre 45 et 49 ans";1
"Guyane";"Réanimation médicale";"Entre 50 et 54 ans";0
"Guyane";"Réanimation médicale";"Entre 55 et 59 ans";1
"Guyane";"Réanimation médicale";"Entre 60 et 64 ans";0
"Guyane";"Réanimation médicale";"Entre 65 et 69 ans";0
"Guyane";"Réanimation médicale";"70 ans et plus";0
"Guyane";"Recherche médicale";"Ensemble tous âges confondus";0
"Guyane";"Recherche médicale";"Moins de 30 ans";0
"Guyane";"Recherche médicale";"Entre 30 et 34 ans";0
"Guyane";"Recherche médicale";"Entre 35 et 39 ans";0
"Guyane";"Recherche médicale";"Entre 40 et 44 ans";0
"Guyane";"Recherche médicale";"Entre 45 et 49 ans";0
"Guyane";"Recherche médicale";"Entre 50 et 54 ans";0
"Guyane";"Recherche médicale";"Entre 55 et 59 ans";0
"Guyane";"Recherche médicale";"Entre 60 et 64 ans";0
"Guyane";"Recherche médicale";"Entre 65 et 69 ans";0
"Guyane";"Recherche médicale";"70 ans et plus";0
"Guyane";"Rhumatologie";"Ensemble tous âges confondus";1
"Guyane";"Rhumatologie";"Moins de 30 ans";0
"Guyane";"Rhumatologie";"Entre 30 et 34 ans";0
"Guyane";"Rhumatologie";"Entre 35 et 39 ans";0
"Guyane";"Rhumatologie";"Entre 40 et 44 ans";0
"Guyane";"Rhumatologie";"Entre 45 et 49 ans";0
"Guyane";"Rhumatologie";"Entre 50 et 54 ans";0
"Guyane";"Rhumatologie";"Entre 55 et 59 ans";1
"Guyane";"Rhumatologie";"Entre 60 et 64 ans";0
"Guyane";"Rhumatologie";"Entre 65 et 69 ans";0
"Guyane";"Rhumatologie";"70 ans et plus";0
"Guyane";"Santé publique et médecine sociale";"Ensemble tous âges confondus";14
"Guyane";"Santé publique et médecine sociale";"Moins de 30 ans";0
"Guyane";"Santé publique et médecine sociale";"Entre 30 et 34 ans";3
"Guyane";"Santé publique et médecine sociale";"Entre 35 et 39 ans";1
"Guyane";"Santé publique et médecine sociale";"Entre 40 et 44 ans";0
"Guyane";"Santé publique et médecine sociale";"Entre 45 et 49 ans";3
"Guyane";"Santé publique et médecine sociale";"Entre 50 et 54 ans";1
"Guyane";"Santé publique et médecine sociale";"Entre 55 et 59 ans";3
"Guyane";"Santé publique et médecine sociale";"Entre 60 et 64 ans";2
"Guyane";"Santé publique et médecine sociale";"Entre 65 et 69 ans";1
"Guyane";"Santé publique et médecine sociale";"70 ans et plus";0
"Guyane";"Généralistes";"Ensemble tous âges confondus";335
"Guyane";"Généralistes";"Moins de 30 ans";5
"Guyane";"Généralistes";"Entre 30 et 34 ans";26
"Guyane";"Généralistes";"Entre 35 et 39 ans";58
"Guyane";"Généralistes";"Entre 40 et 44 ans";51
"Guyane";"Généralistes";"Entre 45 et 49 ans";46
"Guyane";"Généralistes";"Entre 50 et 54 ans";38
"Guyane";"Généralistes";"Entre 55 et 59 ans";41
"Guyane";"Généralistes";"Entre 60 et 64 ans";41
"Guyane";"Généralistes";"Entre 65 et 69 ans";23
"Guyane";"Généralistes";"70 ans et plus";6
"Guyane";"Médecine générale";"Ensemble tous âges confondus";335
"Guyane";"Médecine générale";"Moins de 30 ans";5
"Guyane";"Médecine générale";"Entre 30 et 34 ans";26
"Guyane";"Médecine générale";"Entre 35 et 39 ans";58
"Guyane";"Médecine générale";"Entre 40 et 44 ans";51
"Guyane";"Médecine générale";"Entre 45 et 49 ans";46
"Guyane";"Médecine générale";"Entre 50 et 54 ans";38
"Guyane";"Médecine générale";"Entre 55 et 59 ans";41
"Guyane";"Médecine générale";"Entre 60 et 64 ans";41
"Guyane";"Médecine générale";"Entre 65 et 69 ans";23
"Guyane";"Médecine générale";"70 ans et plus";6
"Ile-de-France";"Ensemble des spécialités d'exercice";"Ensemble tous âges confondus";48046
"Ile-de-France";"Ensemble des spécialités d'exercice";"Moins de 30 ans";554
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 30 et 34 ans";3604
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 35 et 39 ans";3977
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 40 et 44 ans";3903
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 45 et 49 ans";4778
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 50 et 54 ans";6977
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 55 et 59 ans";9002
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 60 et 64 ans";8603
"Ile-de-France";"Ensemble des spécialités d'exercice";"Entre 65 et 69 ans";4641
"Ile-de-France";"Ensemble des spécialités d'exercice";"70 ans et plus";2007
"Ile-de-France";"Spécialistes";"Ensemble tous âges confondus";29715
"Ile-de-France";"Spécialistes";"Moins de 30 ans";312
"Ile-de-France";"Spécialistes";"Entre 30 et 34 ans";2439
"Ile-de-France";"Spécialistes";"Entre 35 et 39 ans";2637
"Ile-de-France";"Spécialistes";"Entre 40 et 44 ans";2469
"Ile-de-France";"Spécialistes";"Entre 45 et 49 ans";3035
"Ile-de-France";"Spécialistes";"Entre 50 et 54 ans";3900
"Ile-de-France";"Spécialistes";"Entre 55 et 59 ans";5357
"Ile-de-France";"Spécialistes";"Entre 60 et 64 ans";5231
"Ile-de-France";"Spécialistes";"Entre 65 et 69 ans";2985
"Ile-de-France";"Spécialistes";"70 ans et plus";1350
"Ile-de-France";"Anatomie et cytologie pathologiques";"Ensemble tous âges confondus";402
"Ile-de-France";"Anatomie et cytologie pathologiques";"Moins de 30 ans";4
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 30 et 34 ans";30
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 35 et 39 ans";26
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 40 et 44 ans";34
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 45 et 49 ans";50
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 50 et 54 ans";58
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 55 et 59 ans";84
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 60 et 64 ans";76
"Ile-de-France";"Anatomie et cytologie pathologiques";"Entre 65 et 69 ans";32
"Ile-de-France";"Anatomie et cytologie pathologiques";"70 ans et plus";8
"Ile-de-France";"Anesthésie-réanimation";"Ensemble tous âges confondus";2302
"Ile-de-France";"Anesthésie-réanimation";"Moins de 30 ans";9
"Ile-de-France";"Anesthésie-réanimation";"Entre 30 et 34 ans";244
"Ile-de-France";"Anesthésie-réanimation";"Entre 35 et 39 ans";280
"Ile-de-France";"Anesthésie-réanimation";"Entre 40 et 44 ans";223
"Ile-de-France";"Anesthésie-réanimation";"Entre 45 et 49 ans";215
"Ile-de-France";"Anesthésie-réanimation";"Entre 50 et 54 ans";224
"Ile-de-France";"Anesthésie-réanimation";"Entre 55 et 59 ans";381
"Ile-de-France";"Anesthésie-réanimation";"Entre 60 et 64 ans";427
"Ile-de-France";"Anesthésie-réanimation";"Entre 65 et 69 ans";246
"Ile-de-France";"Anesthésie-réanimation";"70 ans et plus";53
"Ile-de-France";"Biologie médicale";"Ensemble tous âges confondus";774
"Ile-de-France";"Biologie médicale";"Moins de 30 ans";7
"Ile-de-France";"Biologie médicale";"Entre 30 et 34 ans";45
"Ile-de-France";"Biologie médicale";"Entre 35 et 39 ans";66
"Ile-de-France";"Biologie médicale";"Entre 40 et 44 ans";78
"Ile-de-France";"Biologie médicale";"Entre 45 et 49 ans";137
"Ile-de-France";"Biologie médicale";"Entre 50 et 54 ans";259
"Ile-de-France";"Biologie médicale";"Entre 55 et 59 ans";100
"Ile-de-France";"Biologie médicale";"Entre 60 et 64 ans";42
"Ile-de-France";"Biologie médicale";"Entre 65 et 69 ans";28
"Ile-de-France";"Biologie médicale";"70 ans et plus";12
"Ile-de-France";"Cardiologie et maladies vasculaires";"Ensemble tous âges confondus";1626
"Ile-de-France";"Cardiologie et maladies vasculaires";"Moins de 30 ans";33
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 30 et 34 ans";131
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 35 et 39 ans";124
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 40 et 44 ans";125
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 45 et 49 ans";188
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 50 et 54 ans";219
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 55 et 59 ans";294
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 60 et 64 ans";252
"Ile-de-France";"Cardiologie et maladies vasculaires";"Entre 65 et 69 ans";171
"Ile-de-France";"Cardiologie et maladies vasculaires";"70 ans et plus";89
"Ile-de-France";"Chirurgie générale";"Ensemble tous âges confondus";810
"Ile-de-France";"Chirurgie générale";"Moins de 30 ans";16
"Ile-de-France";"Chirurgie générale";"Entre 30 et 34 ans";199
"Ile-de-France";"Chirurgie générale";"Entre 35 et 39 ans";79
"Ile-de-France";"Chirurgie générale";"Entre 40 et 44 ans";44
"Ile-de-France";"Chirurgie générale";"Entre 45 et 49 ans";32
"Ile-de-France";"Chirurgie générale";"Entre 50 et 54 ans";36
"Ile-de-France";"Chirurgie générale";"Entre 55 et 59 ans";116
"Ile-de-France";"Chirurgie générale";"Entre 60 et 64 ans";134
"Ile-de-France";"Chirurgie générale";"Entre 65 et 69 ans";91
"Ile-de-France";"Chirurgie générale";"70 ans et plus";63
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Ensemble tous âges confondus";330
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 30 et 34 ans";5
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 35 et 39 ans";9
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 40 et 44 ans";10
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 45 et 49 ans";18
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 50 et 54 ans";24
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 55 et 59 ans";118
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 60 et 64 ans";93
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"Entre 65 et 69 ans";29
"Ile-de-France";"Chirurgie maxillo-faciale et stomatologie";"70 ans et plus";24
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Ensemble tous âges confondus";607
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Moins de 30 ans";1
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 30 et 34 ans";43
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 35 et 39 ans";59
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 40 et 44 ans";51
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 45 et 49 ans";95
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 50 et 54 ans";113
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 55 et 59 ans";107
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 60 et 64 ans";65
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"Entre 65 et 69 ans";49
"Ile-de-France";"Chirurgie orthopédique et traumatologie";"70 ans et plus";24
"Ile-de-France";"Chirurgie infantile";"Ensemble tous âges confondus";64
"Ile-de-France";"Chirurgie infantile";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie infantile";"Entre 30 et 34 ans";3
"Ile-de-France";"Chirurgie infantile";"Entre 35 et 39 ans";13
"Ile-de-France";"Chirurgie infantile";"Entre 40 et 44 ans";9
"Ile-de-France";"Chirurgie infantile";"Entre 45 et 49 ans";14
"Ile-de-France";"Chirurgie infantile";"Entre 50 et 54 ans";11
"Ile-de-France";"Chirurgie infantile";"Entre 55 et 59 ans";5
"Ile-de-France";"Chirurgie infantile";"Entre 60 et 64 ans";7
"Ile-de-France";"Chirurgie infantile";"Entre 65 et 69 ans";1
"Ile-de-France";"Chirurgie infantile";"70 ans et plus";1
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Ensemble tous âges confondus";277
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 30 et 34 ans";19
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 35 et 39 ans";39
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 40 et 44 ans";29
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 45 et 49 ans";26
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 50 et 54 ans";54
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 55 et 59 ans";40
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 60 et 64 ans";38
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"Entre 65 et 69 ans";16
"Ile-de-France";"Chirurgie plastique reconstructrice et esthétique";"70 ans et plus";16
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Ensemble tous âges confondus";113
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 30 et 34 ans";1
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 35 et 39 ans";17
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 40 et 44 ans";22
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 45 et 49 ans";23
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 50 et 54 ans";20
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 55 et 59 ans";12
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 60 et 64 ans";12
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"Entre 65 et 69 ans";6
"Ile-de-France";"Chirurgie thoracique et cardio-vasculaire";"70 ans et plus";0
"Ile-de-France";"Chirurgie urologique";"Ensemble tous âges confondus";196
"Ile-de-France";"Chirurgie urologique";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie urologique";"Entre 30 et 34 ans";16
"Ile-de-France";"Chirurgie urologique";"Entre 35 et 39 ans";26
"Ile-de-France";"Chirurgie urologique";"Entre 40 et 44 ans";28
"Ile-de-France";"Chirurgie urologique";"Entre 45 et 49 ans";34
"Ile-de-France";"Chirurgie urologique";"Entre 50 et 54 ans";33
"Ile-de-France";"Chirurgie urologique";"Entre 55 et 59 ans";25
"Ile-de-France";"Chirurgie urologique";"Entre 60 et 64 ans";18
"Ile-de-France";"Chirurgie urologique";"Entre 65 et 69 ans";12
"Ile-de-France";"Chirurgie urologique";"70 ans et plus";4
"Ile-de-France";"Chirurgie vasculaire";"Ensemble tous âges confondus";74
"Ile-de-France";"Chirurgie vasculaire";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie vasculaire";"Entre 30 et 34 ans";6
"Ile-de-France";"Chirurgie vasculaire";"Entre 35 et 39 ans";1
"Ile-de-France";"Chirurgie vasculaire";"Entre 40 et 44 ans";8
"Ile-de-France";"Chirurgie vasculaire";"Entre 45 et 49 ans";8
"Ile-de-France";"Chirurgie vasculaire";"Entre 50 et 54 ans";10
"Ile-de-France";"Chirurgie vasculaire";"Entre 55 et 59 ans";10
"Ile-de-France";"Chirurgie vasculaire";"Entre 60 et 64 ans";14
"Ile-de-France";"Chirurgie vasculaire";"Entre 65 et 69 ans";14
"Ile-de-France";"Chirurgie vasculaire";"70 ans et plus";3
"Ile-de-France";"Chirurgie viscérale et digestive";"Ensemble tous âges confondus";171
"Ile-de-France";"Chirurgie viscérale et digestive";"Moins de 30 ans";0
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 30 et 34 ans";2
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 35 et 39 ans";18
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 40 et 44 ans";27
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 45 et 49 ans";37
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 50 et 54 ans";49
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 55 et 59 ans";15
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 60 et 64 ans";13
"Ile-de-France";"Chirurgie viscérale et digestive";"Entre 65 et 69 ans";8
"Ile-de-France";"Chirurgie viscérale et digestive";"70 ans et plus";2
"Ile-de-France";"Dermatologie et vénéréologie";"Ensemble tous âges confondus";1108
"Ile-de-France";"Dermatologie et vénéréologie";"Moins de 30 ans";6
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 30 et 34 ans";57
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 35 et 39 ans";52
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 40 et 44 ans";57
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 45 et 49 ans";103
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 50 et 54 ans";134
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 55 et 59 ans";270
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 60 et 64 ans";255
"Ile-de-France";"Dermatologie et vénéréologie";"Entre 65 et 69 ans";124
"Ile-de-France";"Dermatologie et vénéréologie";"70 ans et plus";50
"Ile-de-France";"Endocrinologie et métabolisme";"Ensemble tous âges confondus";475
"Ile-de-France";"Endocrinologie et métabolisme";"Moins de 30 ans";8
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 30 et 34 ans";38
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 35 et 39 ans";48
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 40 et 44 ans";54
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 45 et 49 ans";57
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 50 et 54 ans";87
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 55 et 59 ans";65
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 60 et 64 ans";67
"Ile-de-France";"Endocrinologie et métabolisme";"Entre 65 et 69 ans";38
"Ile-de-France";"Endocrinologie et métabolisme";"70 ans et plus";13
"Ile-de-France";"Génétique médicale";"Ensemble tous âges confondus";67
"Ile-de-France";"Génétique médicale";"Moins de 30 ans";0
"Ile-de-France";"Génétique médicale";"Entre 30 et 34 ans";4
"Ile-de-France";"Génétique médicale";"Entre 35 et 39 ans";11
"Ile-de-France";"Génétique médicale";"Entre 40 et 44 ans";4
"Ile-de-France";"Génétique médicale";"Entre 45 et 49 ans";6
"Ile-de-France";"Génétique médicale";"Entre 50 et 54 ans";12
"Ile-de-France";"Génétique médicale";"Entre 55 et 59 ans";10
"Ile-de-France";"Génétique médicale";"Entre 60 et 64 ans";8
"Ile-de-France";"Génétique médicale";"Entre 65 et 69 ans";7
"Ile-de-France";"Génétique médicale";"70 ans et plus";5
